Proposta pendente;Mês;Produto;Nome da Campanha;Tipo;Digital;Videos;Print;peças alteradas pós 3 rodada;Status;Data inicio;Data final;DATA REAL FINAL;diferença final e real;Producer PXP;GP DPZ;Valor Proposta Ratecard Hub;Cobrado em;Custo extra (CE);
;Setembro 23;Megane E-tech;REN0085 - RNT | Megane E-tech Desdobramento Peças Digitais;"Static Banners
Video Broadcast";20;6;0;0;Entregue;15/09/23;15/09/23;;;Jessica Gerald;Fabiana Delboni;R$5.299,58;Set/23;R$0,00;
;Setembro 23;E-tech;REN0086 - RNT-PACUBRA-FILMES-KANGOO-ETECH;Video no Broadcast;0;1;0;0;Entregue;18/09/23;18/09/23;;;Jessica Gerald;Gustavo Albuquerque;R$3.864,28;Set/23;R$0,00;
;Setembro 23;E-tech;REN0087 - RNT-E-TECH-DAYS-DESDO-DURANTE;Video no Broadcast;0;3;0;0;Entregue;20/09/23;20/09/23;;;Marilete Botelho;Gustavo Albuquerque;R$2.152,96;Set/23;R$0,00;
;Setembro 23;E-tech;REN0088 - RNT-E-TECH-DAYS-DESDO-PRE-EVENTO-2;Digital Standard HTML;3;0;0;0;Entregue;20/09/23;21/09/23;;;Marilete Botelho;Gustavo Albuquerque;R$629,32;Set/23;R$0,00;
;Setembro 23;Kwid E-Tech;REN0089 - REN-KWID-E-TECH-RODAPE-ESTADAO;Single Page;0;0;1;0;Entregue;25/09/23;25/09/23;;;Jessica Gerald;Gustavo Albuquerque;R$853,89;Set/23;R$0,00;
;Setembro 23;Megane E-tech;REN0090 - RNT-MEGANE-30-HARDEST-RUN;Video no Broadcast;1;0;0;0;Entregue;25/09/23;27/09/23;;;Jessica Gerald;Gustavo Albuquerque;R$2.097,75;Set/23;R$0,00;
;Setembro 23;E-tech;REN0091 - RNT-E-TECH-DAYS-COBERTURA-REELS-2;Video no Broadcast;0;1;0;0;Entregue;26/09/23;26/09/23;;;Jessica Gerald;Gustavo Albuquerque;R$1.876,94;Set/23;R$0,00;
;Outubro 23;"Duster
Institucional
Kwid E-Tech
Oroch";REN0092 - RNT| INSTITUCIONAL| Videos Painel de Led;Video Broadcast;0;6;0;0;Entregue;26/09/23;28/09/23;;;Jéssica Gerald;Leandro Neublum;R$24.731,38;Out/23;R$0,00;
;Outubro 23;Kwid;REN0093 - RNT| KWID| Desdobramento peças buy - genericas;Static Banners;9;0;0;0;Entregue;29/09/23;29/09/23;;;Jessica Gerald;Leandro Neublum;R$2.384,81;Out/23;R$0,00;
;Outubro 23;Oroch;REN0094 - RNT| OROCH| Desdobramento| SHOP;Static Banners;2;0;0;0;Entregue;02/10/23;02/10/23;;;Jessica Gerald;Leandro Neublum;R$216,87;Out/23;R$0,00;
;Outubro 23;Oroch;REN0095 - RNT | Inicial | Oroch | Desdobramento SHOP - Peças Digitais - Outubro/23;Static Banners;9;0;0;0;Entregue;02/10/23;03/10/23;;;Jessica Gerald;Gustavo Albuquerque;R$1.213,70;Out/23;R$0,00;
;Outubro 23;E-tech;REN0096-RNT-E-TECH-DAYS-COBERTURA-REELS-3;Video no Broadcast;0;1;0;0;Entregue;03/10/23;03/10/23;;;Marilete Botelho;Gustavo Albuquerque;R$1.876,94;Out/23;R$0,00;
;Outubro 23;Megane E-tech;REN0097-RNT-MEGANE-ETECH-FILME30-AÇÃOBAND;Video Broadcast;0;1;0;0;Entregue;04/10/23;04/10/23;;;Marilete Botelho;Fabiana Delboni;R$1.545,71;Out/23;R$0,00;
;Outubro 23;Kwid;REN0098 - RNT| KWID| BUY| OUTUBRO;"Static Banners
Video Broadcast";14;0;0;0;Entregue;03/10/23;04/10/23;;;Jéssica Gerald;Leandro Neublum;R$2.953,41;Out/23;R$0,00;
;Outubro 23;Kangoo;REN0099 - RNT-KANGOO-LANÇAMENTO-STORIES;Rich Media Banners;1;0;0;0;Entregue;04/10/23;04/10/23;;;Jessica Gerald;Gustavo Albuquerque;R$717,65;Out/23;R$0,00;
;Outubro 23;Megane E-tech;REN0100-RNT-MEGANE-ETECH-PM-AUTODATA-FILME;Video Broadcast;0;1;0;0;Entregue;05/10/23;05/10/23;;;Marilete Botelho;;R$1.380,10;Out/23;R$0,00;
;Outubro 23;Institucional;REN0101-RNT-PATRICIA-MEDRADO+CEUCAMPOLIMPO;Rich Media Banners;0;1;0;0;Entregue;05/10/23;06/10/23;;;Marilete Botelho;Jessica Alencar;R$1.048,88;Out/23;R$0,00;
;Outubro 23;Oroch;REN0102 - RNT-OROCH-BUY-OUTUBRO;"Static Banners
Video Broadcast";14;2;0;0;Entregue;06/10/23;09/10/23;;;Jéssica Gerald;Leandro Neublum;R$4.362,30;Out/23;R$0,00;
;Outubro 23;Institucional;REN0103 - RNT - INSTITUCIONAL - Dia das Crianças;Rich Media Banners;0;1;0;0;Entregue;09/10/23;10/10/23;;;Jessica Gerald;Jessica Alencar;R$717,65;Out/23;R$0,00;
;Outubro 23;Institucional;REN0104-RNT-FORMATURA-GERAÇÃO-FUTURO;Rich Media Banners;0;2;0;0;Entregue;09/10/23;09/10/23;;;Marilete Botelho;Jessica Alencar;R$6.624,48;Out/23;R$0,00;
;Outubro 23;Kwid;REN0105 - RNT-KWID-BUY-NOVA OFERTA;"Static Banners
Video Broadcast";14;2;0;0;Entregue;10/10/23;10/10/23;;;Jéssica Gerald;Leandro Neublum;R$4.063,01;Out/23;R$0,00;
;Outubro 23;Pós-vendas;REN0106-RNT-Pós Vendas Anúncios Mecânicos;Single Page;0;0;2;0;Entregue;11/10/23;11/10/23;;;Jessica Gerald;Fabiana Delboni;R$1.707,78;Out/23;R$0,00;
;Outubro 23;Megane E-tech;REN0107-RNT-Megane E-tech Finalização Bloomberg;OOH Static;0;0;1;0;Entregue;11/10/23;11/10/23;;;Jessica Gerald;Fabiana Delboni;R$1.003,23;Out/23;R$0,00;
;Outubro 23;Pós-vendas;REN0108 - RNT - Pos Vendas Finalização KV Promoção;OOH Static;1;0;1;0;Entregue;31/10/23;01/11/23;;;Ludmila Galanzauskas;Fabiana Delboni;R$1.111,66;Out/23;R$0,00;
;Outubro 23;"Institucional
Megane E-tech";REN0109 - RNT-AEROPORTO NORONHA -PAINEIS;OOH Static;0;0;3;0;Entregue;11/10/23;16/10/23;;;Jéssica Gerald;Leandro Neublum;R$3.511,29;Out/23;R$0,00;
;Outubro 23;Megane E-tech;REN0110-RNT-MEGANE-E-TECH-FINALIZAÇÃO-VITRINE-JK;OOH Static;0;0;2;0;Entregue;11/10/23;11/10/23;;;Marilete Botelho;Fabiana Delboni;R$2.006,45;Out/23;R$0,00;
;Outubro 23;Megane E-tech;REN0111 - RNT -  Megane E-tech Finalização Backlight JK;OOH Static;0;0;2;0;Entregue;11/10/23;11/10/23;;;Ludmila Galanzauskas;Fabiana Delboni;R$2.508,07;Out/23;R$0,00;
;Outubro 23;Kwid;REN0112-RNT-KWID-BUY-OFERTA-PREÇO CHEIO-OUTUBRO;"Static Banners
Video Broadcast";14;2;0;0;Entregue;16/10/23;17/10/23;;;Jéssica Gerald;Leandro Neublum;R$2.953,41;Out/23;R$0,00;
;Outubro 23;Duster;REN0113-RNT-DUSTER-PEÇAS SHOP-ANIMADAS;Video Broadcast;0;6;0;0;Entregue;18/10/23;18/10/23;;;Jéssica Gerald;Leandro Neublum;R$4.305,91;Out/23;R$0,00;
;Outubro 23;Oroch;REN0114-RNT-OROCH-LEARN-SEM SELO-NOVEMBRO;Static Banners;21;0;0;0;Entregue;18/10/23;24/10/23;;;Jéssica Gerald;Leandro Neublum;R$2.277,16;Out/23;R$0,00;
;Outubro 23;Oroch;REN0115-RNT-OROCH-SHOP-SEM SELO-NOVEMBRO;"Static Banners
Video Broadcast";49;6;0;0;Entregue;18/10/23;23/10/23;;;Jéssica Gerald;Leandro Neublum;R$9.619,29;Out/23;R$0,00;
;Outubro 23;Kwid;REN0116-RNT-KWID-SALES FORCE OOH E REVISTAS NOVEMBRO;"Double Page
OOH Static
Single Page";0;0;3;0;Entregue;18/10/23;19/10/23;;;Marilete Botelho;Leandro Neublum;R$2.947,76;Out/23;R$0,00;
;Outubro 23;Kwid;REN0117 - RNT-KWID-PEÇAS-REDE-DIGITAIS-ESTATICAS;Static Banners;5;0;0;0;Entregue;18/10/23;20/10/23;;;Ludmila Galanzauskas;Leandro Neublum;R$542,18;Out/23;R$0,00;
;Outubro 23;Kwid;REN0118-RNT-KWID-PEÇAS-MIDIA-BUY;"Static Banners
Video Broadcast";14;2;0;0;Entregue;18/10/23;19/10/23;;;Ludmila Galanzauskas;Leandro Neublum;R$2.953,41;Out/23;R$0,00;
;Outubro 23;Megane E-tech;REN0119-RNT-MEGANE E-TECH-ADSMOVIL;Rich Media Banners;2;0;0;0;Entregue;19/10/23;19/10/23;;;Marilete Botelho;Fabiana Delboni;R$375,39;Out/23;R$0,00;
;Outubro 23;"Kwid
Megane E-tech";REN0120-RNT-FILMES-ABLA-TRIPA 60;Video Broadcast;0;2;0;0;Entregue;20/10/23;20/10/23;;;Marilete Botelho;Leandro Neublum;R$4.747,54;Out/23;R$0,00;
;Outubro 23;Social AON;REN0121-RNT-SOCIAL AON- RTALK CLIO;Video Broadcast;0;2;0;0;Entregue;19/10/23;20/10/23;;;Jessica Gerald;Jessica Alencar;R$5.520,40;Out/23;R$0,00;
;Outubro 23;Megane E-tech;REN0122-RNT-MEGANE-E-TECH-ANÚNCIO-ESTADÃO;Double Page;0;0;1;0;Entregue;24/10/23;24/10/23;;;Marilete Botelho;Fabiana Delboni;R$1.668,03;Out/23;R$0,00;
;Outubro 23;Institucional;REN0123-RNT-ANUNCIO-ADVB;Static Banners;1;0;0;0;Entregue;24/10/23;24/10/23;;;Marilete Botelho;Jessica Alencar;R$108,44;Out/23;R$0,00;
;Outubro 23;Megane E-tech;REN0124 - RNT| MEGAANE E-TECH| ANUNCIOS COMUNICAÇÃO NOVEMBRO;"Double Page
Single Page";0;0;3;0;Entregue;24/10/23;25/10/23;;;Jéssica Gerald;Leandro Neublum;R$3.333,84;Out/23;R$0,00;
;Outubro 23;Megane E-tech;REN0125 - RNT -Megane E-tech Anúncio Estadão Pg Simples;Single Page;0;0;1;0;Entregue;25/10/23;25/10/23;;;Jessica Gerald;Fabiana Delboni;R$1.104,28;Out/23;R$0,00;
;Outubro 23;Megane E-tech;REN0126-RNT-MEGANE-E-TECH-ONE-HEROES;Rich Media Banners;0;2;0;0;Entregue;25/10/23;26/10/23;;;Ludmila Galanzauskas;Gustavo Albuquerque;R$1.435,30;Out/23;R$0,00;
;Outubro 23;Megane E-tech;REN0127-RNT-MEGANE-ETECH-FILME30-AÇÃOBAND;Video no Broadcast;0;2;0;0;Entregue;27/10/23;27/10/23;;;Jessica Gerald;Fabiana Delboni;R$1.380,10;Out/23;R$0,00;
;Outubro 23;Pós-vendas;REN0128-RNT-Pós Vendas Anúncios Promo Motrio;"Double Page
Single Page";0;0;2;0;Entregue;30/10/23;30/10/23;;;Jessica Gerald;Fabiana Delboni;R$1.707,78;Out/23;R$0,00;
;Outubro 23;Pós-vendas;REN0129 - RNT - PV Peças E-commerce Desdobramento;Static Banners;4;16;0;0;Cancelado;30/10/23;31/10/23;;;Jessica Gerald;Fabiana Delboni;R$0,00;Out/23;R$0,00;
;Outubro 23;Megane E-tech;REN0130-RNT-MEGANE-ETECH-PM-AUTODATA-FILME;Video Broadcast;0;1;0;0;Entregue;30/10/23;31/10/23;;;Marilete Botelho;Leandro Neublum;R$1.545,71;Out/23;R$0,00;
;Novembro 23;Oroch;REN0131-RNT-OROCH-BUY-SEM SELO-OFERTA-NOVEMBRO;"Static Banners
Video Broadcast";16;3;0;0;Entregue;31/10/23;01/11/23;;;Marilete Botelho;Leandro Neublum;R$3.887,94;Nov/23;R$0,00;
;Outubro 23;Pós-vendas;REN0132-RNT - Pós Vendas Anúncio Loja Online;Single Page;0;0;1;0;Entregue;31/10/23;31/10/23;;;Jessica Gerald;Fabiana Delboni;R$853,89;Nov/23;R$0,00;
;Novembro 23;Pós-vendas;REN0133-RNT -Finalização KV Promoção Motrio;Single Page;0;0;1;0;Entregue;01/11/23;01/11/23;;;Jessica Gerald;Fabiana Delboni;R$853,89;Nov/23;R$0,00;
;Dezembro 23;"Duster
Institucional
Kwid
Kwid E-Tech
Oroch";REN0134-RNT-INSTITUCIONAL-PAINEL-DE-LED-NOVO-FORMATO;Video Broadcast;0;6;0;0;Entregue;01/11/23;08/11/23;;;Marilete Botelho;Leandro Neublum;R$13.248,96;Nov/23;R$0,00;
;Novembro 23;Kangoo;REN0135 - TVC-THE-STORE-KANGOO;Video no Broadcast;0;1;0;0;Entregue;07/11/23;08/11/23;;;Jessica Gerald;Gustavo Albuquerque;R$1.380,10;Nov/23;R$0,00;
;Novembro 23;Oroch;REN0136 - OOHs-OROCH-NOVEMBRO;Video no Broadcast;13;13;0;0;Entregue;###############################################################################################################################################################################################################################################################;09/11/23;;;Jessica Gerald;Gustavo Albuquerque;R$7.307,04;Nov/23;R$0,00;
;Novembro 23;Institucional;REN0137- RNT-INSTITUCIONAL-H1st Vision-social;Video Broadcast;0;4;0;0;Entregue;08/11/23;09/11/23;;;Jéssica Gerald;Jessica Alencar;R$11.151,20;Nov/23;R$0,00;
;Novembro 23;Institucional;REN0138-RNT-Institucional-Renault Internacional Game Plan 2027;Video Broadcast;0;1;0;0;Entregue;16/11/23;17/11/23;;;Jéssica Gerald;Fabiana Delboni;R$21.750,37;Nov/23;R$0,00;
;Novembro 23;Oroch;REN0139-RNT -OROCH OOH OFERTA;Video no Broadcast;13;13;;0;Entregue;16/11/23;17/11/23;;;Jéssica Gerald;Fabiana Delboni;R$13.421,67;Nov/23;R$0,00;
;Novembro 23;Pós-vendas;REN0140-RNT-Promoção Motrio Animação;Video no Broadcast;0;2;0;0;Entregue;16/11/23;17/11/23;;;Jéssica Gerald;Fabiana Delboni;R$3.201,83;Nov/23;R$0,00;
;Novembro 23;Megane E-tech;REN0141-RNT-ANÚNCIO DUPLA THE PRESIDENT MEGANE;Double Page;0;0;1;0;Entregue;17/11/23;21/11/23;;;Marilete Botelho;Fabiana Delboni;R$1.668,03;Nov/23;R$0,00;
;Novembro 23;Institucional;REN0142-RNT-Renault Master E-tech;Video Broadcast;0;3;0;0;Entregue;17/11/23;17/11/23;;;Jéssica Gerald;Jessica Alencar;R$9.384,68;Nov/23;R$0,00;
;Novembro 23;Pós-vendas;REN0143- RNT-Pós Vendas Anúncios Dezembro;Single Page;0;0;2;0;Entregue;23/11/23;24/11/23;;;Jessica Gerald;Fabiana Delboni;R$2.093,86;Nov/23;R$0,00;
;Novembro 23;Institucional;REN0144- RNT-Renault Master E-tech 2;Video Broadcast;0;2;0;0;Entregue;23/11/23;23/11/23;;;Jéssica Gerald;Jessica Alencar;R$8.943,05;Nov/23;R$0,00;
;Dezembro 23;Oroch;REN0146 - RNT-OROCH-BUY-NOVA LINHA CRIATIVA;"Static Banners
Video Broadcast";14;3;0;0;Entregue;27/11/23;28/11/23;;;Jéssica Gerald;Leandro Neublum;R$4.780,66;Nov/23;R$0,00;
;Dezembro 23;Oroch;REN0147-RNT-OROCH-SHOP-NOVA LINHA CRIATIVA;"Static Banners
Video no Broadcast";32;12;0;0;Entregue;27/11/23;30/11/23;;;Jéssica Gerald;Leandro Neublum;R$17.091,15;Nov/23;R$0,00;
;Dezembro 23;Oroch;REN0148-RNT-OROCH-LEARN-NOVA LINHA CRIATIVA;"Static Banners
Video Broadcast";19;2;0;0;Entregue;27/11/23;01/12/23;;;Marilete Botelho;Leandro Neublum;R$6.469,91;Nov/23;R$0,00;
;Novembro 23;Kwid;REN0149-RNT-KWID-LEAD ADS-ANIMADO;Video Broadcast;0;1;0;0;Entregue;28/11/23;28/11/23;;;Jéssica Gerald;Leandro Neublum;R$717,65;Nov/23;R$0,00;
;Novembro 23;Megane E-tech;REN0150-RNT - Megane Anúncio AutoEsporte;Double Page;0;0;1;0;Entregue;29/11/23;29/11/23;;;Jessica Gerald;Fabiana Delboni;R$1.668,03;Nov/23;R$0,00;
;Novembro 23;Megane E-tech;REN0151-RNT-Megane Displays AutoEsporte;Static Banners;4;0;0;0;Entregue;29/11/23;30/11/23;;;Jessica Gerald;Fabiana Delboni;R$750,77;Nov/23;R$0,00;
;Dezembro 23;Pós-vendas;REN0152-RNT-Peças Promoção Motrio;"Static Banners
Video no Broadcast";6;2;0;0;Entregue;04/12/23;04/12/23;;;Jessica Gerald;Fabiana Delboni;R$2.085,92;Dez/23;;
;Dezembro 23;Megane E-tech;REN0153-RNT-Megane Anúncio AutoEsporte 25 anos;Double Page;0;0;1;0;Entregue;04/12/23;04/12/23;;;Jessica Gerald;Fabiana Delboni;R$1.239,97;Dez/23;;
;Dezembro 23;Megane E-tech;REN0154-RNT-Megane Anúncio Top Magazine;Double Page;0;0;1;0;Entregue;06/12/23;07/12/23;;;Jessica Gerald;Fabiana Delboni;R$1.239,97;Dez/23;;
;Dezembro 23;Kwid;"REN0155-RNT-FILME KWID 15""-OFERTA DEZEMBRO (1X1)";Video no Broadcast;0;1;0;0;Entregue;07/12/23;08/12/23;;;Marilete Botelho;Gustavo Albuquerque;R$1.600,92;Dez/23;;
;Dezembro 23;Institucional;REN0156-RNT-Post Global Retrospectiva Spotify;Video no Broadcast;0;5;0;0;Entregue;07/12/23;07/12/23;;;Jéssica Gerald;Jessica Alencar;R$8.004,58;Dez/23;;
;Dezembro 23;Kwid;REN0157-RNT-KWID-PH2-ONE-VIDEOS;Video no Broadcast;0;14;0;0;Entregue;11/12/23;11/12/23;;;Marilete Botelho;Gustavo Albuquerque;R$22.412,82;Dez/23;;
;Dezembro 23;Kardian;REN0158-RNT - Kardian Desdobramento;"Static Banners
Video no Broadcast";28;6;0;0;Entregue;11/12/23;27/12/23;;;Jessica Gerald;Fabiana Delboni;R$9.323,56;Jan/24;;
;Dezembro 23;Pós-vendas;REN0161-RNT-PV ANIMAÇÃO FB CAMPANHA FÉRIAS;Video no Broadcast;0;0;0;0;Cancelado;14/12/23;14/12/23;;;Marilete Botelho;Fabiana Delboni;R$0,00;Jan/24;;
;Dezembro 23;Pós-vendas;REN0162-RNT-PV Desdobramento Campanha Férias;Static Banners;14;0;0;0;Entregue;14/12/23;15/12/23;;;Marilete Botelho;Fabiana Delboni;R$2.310,68;Dez/23;;
;Dezembro 23;Duster;REN0164-RNT-DUSTER-PEÇAS-BUY-DEZEMBRO;"Static Banners
Video no Broadcast";20;8;0;0;Entregue;18/12/23;19/12/23;;;Jessica Gerald;Gustavo Albuquerque;R$7.909,94;Dez/23;;
;Dezembro 23;Pós-vendas;REN0165 - RNT - Pós Vendas Peças E-commerce;Static Banners;5;0;0;0;Entregue;22/12/23;26/12/23;;;Jéssica Gerald;Fabiana Delboni;R$542,18;Jan/24;;
;Dezembro 23;Kwid;REN0166-RNT-KWID-PH2-FAST-START-DIGITAL;"Digital Standard HTML
Rich Media Banners";19;6;0;0;Entregue;26/12/23;26/12/23;;;Marilete Botelho;Fabiana Delboni;R$15.346,71;Jan/24;;
;Dezembro 23;Oroch;REN0167-RNT-OROCH-Peças Digitais-BUY;Static Banners;5;2;0;0;Cancelado;26/12/23;27/12/23;;;Marilete Botelho;Fabiana Delboni;R$0,00;Jan/24;;
;Dezembro 23;Kardian;REN0168-RNT-PEÇAS FASE BUY KARDIAN;Static Banners;8;0;0;0;Entregue;28/12/23;29/12/23;;;Marilete Botelho;Fabiana Delboni;R$1.501,55;Jan/24;;
;Dezembro 23;Oroch;REN0169-RNT-OROCH-Peças-Digitais BUY-Desdobramento;Static Banners;16;2;0;0;Entregue;29/12/23;02/01/24;;;Jessica Gerald;Gustavo Albuquerque;R$3.170,29;Jan/24;;
;;;2024;;2270;574;84;0;;;;;;;;ORÇAMENTO;;;
;Janeiro 24;Duster;REN0170-RNT-DUSTER-PEÇAS-MÍDIA-JANEIRO;"Digital Standard HTML
Rich Media Banners
Static Banners";214;44;0;0;Entregue;05/01/2024;09/01/2024;09/01/2024;0;Jessica Gerald;Gustavo Albuquerque;R$82.128,15;Jan/24;;
;Janeiro 24;Kardian;REN0171 - RNT - Animação Displays Learn Kardian;Digital Standard HTML;0;5;0;0;Entregue;09/01/2024;09/01/2024;09/01/2024;0;Jessica Gerald;Fabiana Delboni;R$1.048,88;Jan/24;;
;Janeiro 24;Oroch;REN0172-RNT-Animação  Recall Oroch;Digital Standard HTML;0;6;0;0;Cancelado;09/01/2024;10/01/2024;09/01/2024;1;Jéssica Gerald;Jessica Alencar;;Jan/24;;
;Janeiro 24;Duster;REN0173 - RNT-DUSTER-FACELIFT-STORIES1;Video no Broadcast;0;1;0;0;Entregue;10/01/2024;10/01/2024;10/01/2024;0;Jessica Gerald;Gustavo Albuquerque;R$717,65;Jan/24;;
;Janeiro 24;Duster;REN0174-RNT-DUSTER-LEARN-DESDOB-JAN;"Digital Standard HTML
Static Banners";12;0;0;0;Entregue;12/01/2024;12/01/2024;12/01/2024;0;Jéssica Gerald;Gustavo Albuquerque;R$2.384,81;Jan/24;;
;Janeiro 24;Duster;REN0175-RNT-DUSTER-PEÇAS-GENERICAS-BUY;Video no Broadcast;0;2;0;0;Entregue;15/01/2024;16/01/2024;15/01/2024;1;Jessica Gerald;Gustavo Albuquerque;R$1.435,30;Jan/24;;
;Janeiro 24;Megane E-tech;REN0176-RNT-MEGANE-ANUÁRIO-ADVBPR;Double Page;0;0;1;0;Entregue;16/01/2024;16/01/2024;16/01/2024;0;Jessica Gerald;Raquel Dias;R$1.239,97;Jan/24;;
;Janeiro 24;Megane E-tech;REN0177- RNT-MEGANE-ANUNCIO-ANFAVEA;Double Page;0;0;1;0;Entregue;16/01/2024;31/01/2024;17/01/2024;14;Jessica Gerald;Raquel Dias;R$1.239,97;Jan/24;;
;Janeiro 24;Kwid;REN0178-RNT-RDEMOS-KWID-PH2-AJUSTES 2;Video no Broadcast;0;36;0;0;Entregue;22/01/2024;24/01/2024;26/01/2024;-2;Jessica Gerald;Gustavo Albuquerque;R$29.810,15;Jan/24;;
;Janeiro 24;Oroch;REN0179-RNT-OROCH-PEÇAS ANIMADAS-SHOP-JAN;Video no Broadcast;0;2;0;0;Entregue;26/01/2024;26/01/2024;26/01/2024;0;Jessica Gerald;Gustavo Albuquerque;R$1.435,30;Jan/24;;
;Fevereiro 24;Kwid;REN0180-RNT-KWID-ICE-PEÇAS-BUY-FEV;"Rich Media Banners
Static Banners
Video no Broadcast";33;2;0;0;Entregue;30/01/2024;02/02/2024;02/02/2024;0;Jessica Gerald;Gustavo Albuquerque;R$7.731,32;Fev/24;;
;Fevereiro 24;Kwid;REN0181-RNT-KWID-AJUSTES-TVC-2024;Video no Broadcast;0;6;0;0;Entregue;31/01/2024;05/02/2024;02/02/2024;3;Jessica Gerald;Gustavo Albuquerque;R$5.299,58;Fev/24;;
;Fevereiro 24;Megane E-tech;REN0182-RNT-MEGANE-PAGINA-DUPA-ANUARIO RL;Double Page;0;0;1;0;Entregue;30/01/2024;31/01/2024;01/02/2024;-1;Jéssica Gerald;Raquel Dias;R$1.239,97;Fev/24;;
;Fevereiro 24;Pós-vendas;REN0183-RNT-Pós Vendas Novas Ofertas Mecânicos;Static Banners;10;0;0;0;Entregue;01/02/2024;02/02/2024;02/02/2024;0;Jessica Gerald;Fabiana Delboni;R$1.084,36;Fev/24;;
;Fevereiro 24;Pós-vendas;REN0184-RNT-Pós Vendas Ofertas E-commerce;Static Banners;15;0;0;0;Entregue;01/02/2024;02/02/2024;02/02/2024;0;Jessica Gerald;Fabiana Delboni;R$1.626,55;Fev/24;;
;Fevereiro 24;Oroch;REN0185-RNT-OROCH-PEÇAS-BUY-FEVEREIRO;"Rich Media Banners
Static Banners
Video no Broadcast";25;2;0;0;Entregue;05/02/2024;06/02/2024;06/02/2024;0;Jessica Gerald;Gustavo Albuquerque;R$6.819,27;Fev/24;;
;Fevereiro 24;Duster;REN0186-RNT-DUSTER-BUY-FEVEREIRO;"Rich Media Banners
Static Banners
Video no Broadcast";25;2;0;0;Entregue;05/02/2024;06/02/2024;06/02/2024;0;Jéssica Gerald;Raquel Dias;R$6.819,27;Fev/24;;
;Fevereiro 24;Duster;REN0187-RNT- DUSTER-LEANR-PECAS-ADICIONAIS-FEVEREIRO;"Digital Standard HTML
Static Banners";1;0;0;0;Entregue;06/02/2024;07/02/2024;07/02/2024;0;Jéssica Gerald;Raquel Dias;R$209,78;Fev/24;;
;Fevereiro 24;Kwid E-Tech;REN0189-RNT-KWID-E-TECH-BUY-FEVEREIRO;"Rich Media Banners
Static Banners
Video no Broadcast";25;2;0;0;Entregue;07/02/2024;19/02/2024;15/02/2024;4;Jéssica Gerald;Raquel Dias;R$6.819,27;Fev/24;;
;Fevereiro 24;Kardian;REN0190- Kardian Desdobramento Pré Vendas;"Digital Standard HTML
Static Banners";43;0;0;0;Entregue;09/02/2024;14/02/2024;12/02/2024;2;Jessica Gerald;Fabiana Delboni;R$14.231,59;Fev/24;;
;Fevereiro 24;Institucional;Campanha Brand Campaign;Video no Broadcast;0;1;0;0;Cancelado;09/02/2024;09/02/2024;09/02/2024;0;Jéssica Gerald;Jessica Alencar;R$0,00;Fev/24;;
;Fevereiro 24;Megane E-tech;REN0192-RNT-MEGANE-AUTOMOTIVE-BUSINESS-FEVEREIRO;"Digital Standard HTML
Rich Media Banners";3;0;0;0;Entregue;09/02/2024;09/02/2024;09/02/2024;0;Jéssica Gerald;Raquel Dias;R$325,31;Fev/24;;
;Fevereiro 24;Kardian;REN0193-RNT-Kardian Vídeos Pré Venda;Video no Broadcast;0;14;0;0;Entregue;12/02/2024;12/02/2024;12/02/2024;0;Jéssica Gerald;Fabiana Delboni;R$10.709,57;Fev/24;;
;Fevereiro 24;Megane E-tech;"REN0194-RNT-MEGANE-FILME-TVC-30""-LOGO";Video Broadcast;0;1;0;0;Entregue;14/02/2024;14/02/2024;15/02/2024;-1;Jéssica Gerald;Raquel Dias;R$1.545,71;Fev/24;;
;Fevereiro 24;Institucional;REN0195-Brand Campaing - Filme Teaser Kardian Novo Dia;Video Broadcast;0;1;0;0;Entregue;16/02/2024;16/02/2024;16/02/2024;0;Jéssica Gerald;Cintia Ramos;R$1.545,71;Fev/24;;
;Fevereiro 24;Institucional;REN0196 - RNT - Filme Teaser Kardian 45´e 15´;Video Broadcast;0;4;0;0;Entregue;19/02/2024;19/02/2024;19/02/2024;0;Jéssica Gerald;Cintia Ramos;R$4.029,89;Fev/24;;
;Fevereiro 24;Institucional;REN0197- RNT- Desdobramentos Filme Teaser Kardian - Brand C;Video Broadcast;4;19;0;0;Entregue;19/02/2024;20/02/2024;20/02/2024;0;Jéssica Gerald;Cintia Ramos;R$22.515,34;Fev/24;;
;Fevereiro 24;Kardian;REN0200 - RNT - Kardian Banners WebMotors;Digital Standard HTML;3;0;0;0;Entregue;21/02/2024;21/02/2024;21/02/2024;0;Jessica Gerald;Fabiana Delboni;R$325,31;Fev/24;;
;Fevereiro 24;Duster;"REN0201-RNT-Duster-File-TVC-novas-imagens 30""";Video Broadcast;0;1;0;0;Entregue;21/02/2024;22/02/2024;23/02/2024;-1;Jéssica Gerald;Raquel Dias;R$2.208,16;Fev/24;;
;Fevereiro 24;Kwid;REN0202-KWID-RDEMOS-LOGO-125-ANOS;Video no Broadcast;0;36;0;0;Entregue;23/02/2024;26/02/2024;26/02/2024;0;Jessica Gerald;Gustavo Albuquerque;R$29.810,15;Fev/24;;
;Fevereiro 24;Duster;REN0203-RNT_DUSTER_PEÇAS_BUY_MARÇO;"Rich Media Banners
Static Banners
Video no Broadcast";25;2;0;0;Entregue;28/02/2024;29/02/2024;29/02/2024;0;Jéssica Gerald;Raquel Dias;R$6.819,27;Fev/24;;
